Time	Vr	Ir
0.048600000000004209	93.671199034242278	11.141336543118996
0.048610000000004212	93.045367130831522	11.101239365984839
0.048620000000004215	92.418616907974084	11.060997934464467
0.048630000000004218	91.790954551432833	11.020613030154891
0.048640000000004222	91.162386255972834	10.980085519918248
0.048650000000004225	90.532918225300861	10.939416185351547
0.048660000000004228	89.902556672002831	10.898605779630088
0.048670000000004231	89.27130781748437	10.857655126983445
0.048680000000004234	88.639177891908304	10.816565080062901
0.048690000000004237	88.006173134133661	10.775336335200336
0.04870000000000424	87.372299791652807	10.733969730836179
0.048710000000004243	86.737564120531744	10.692466048567439
0.048720000000004246	86.101972385347139	10.650826055780271
0.048730000000004249	85.465530859124797	10.609050562493394
0.048740000000004252	84.828245823277953	10.567140293460398
0.048750000000004255	84.190123567544077	10.525096072910856
0.048760000000004258	83.551170389924749	10.482918625598359
0.048770000000004261	82.911392596622164	10.440608747330771
0.048780000000004264	82.270796501977671	10.398167162861682
0.048790000000004267	81.629388428407793	10.355594710631522
0.048800000000004271	80.987174706344277	10.312892072761315
0.048810000000004274	80.344161674169939	10.270060030848072
0.048820000000004277	79.700355678156853	10.227099309645382
0.04883000000000428	79.055763072402499	10.18401073338282
0.048840000000004283	78.410390218768882	10.140794969970557
0.048850000000004286	77.764243486818543	10.097452786794747
0.048860000000004289	77.117329253752317	10.053984951241546
0.048870000000004292	76.46965390434498	10.010392173853688
0.048880000000004295	75.821223830884406	9.9666752078064746
0.048890000000004298	75.172045433106874	9.92283479206435
0.048900000000004301	74.522125118134539	9.8788716371700502
0.048910000000004304	73.871469300412443	9.8347864962988751
0.048920000000004307	73.220084401643604	9.7905800515718511
0.04893000000000431	72.567976850728058	9.7462531130076968
0.048940000000004313	71.91515308369776	9.7018063200948745
0.048950000000004316	71.261619543653907	9.6572404117978294
0.04896000000000432	70.607382680701818	9.6125561270810067
0.048970000000004323	69.952448951889551	9.5677541906979968
0.048980000000004326	69.296824821142593	9.5228352847698261
0.048990000000004329	68.640516759200892	9.4778001482609397
0.049000000000004332	67.983531243553472	9.4326494775032188
0.049010000000004335	67.32587475837677	9.3873839688285443
0.049020000000004338	66.667553794469057	9.3420043469905067
0.049030000000004341	66.008574849186829	9.2965113225318419
0.049040000000004344	65.348944426381067	9.250905577573576
0.049050000000004347	64.688669036331476	9.2051878368692996
0.04906000000000435	64.027755195684549	9.1593587541183297
0.049070000000004353	63.366209427387659	9.1134190753905386
0.049080000000004356	62.704038260625573	9.0673694685960982
0.049090000000004359	62.041248230754391	9.021210644277744
0.049100000000004362	61.377845879239295	8.9749432632402204
0.049110000000004365	60.713837753588564	8.9285680360262631
0.049120000000004369	60.049230407289642	8.8820856447568985
0.049130000000004372	59.384030399742976	8.8354967786585803
0.049140000000004375	58.718244296199529	8.7888021269577621
0.049150000000004378	58.051878667694474	8.7420023646700429
0.049160000000004381	57.384940090982724	8.6950981668110217
0.049170000000004384	56.717435148474387	8.6480902297125795
0.049180000000004387	56.049370428168324	8.6009792070740332
0.04919000000000439	55.380752523589301	8.5537658023326912
0.049200000000004393	54.711588033721554	8.5064506691878705
0.049210000000004396	54.041883562944257	8.4590344968660247
0.049220000000004399	53.371645720964935	8.4115179461718981
